id,question_en,answer_en
faq1,Where can I find the nearest shelter?,"Use the map or contact local authorities. If offline, go to the nearest school or community center designated as a shelter."
faq2,How do I report a blocked road?,"Send an SMS to the local helpline or inform volunteers/officials at the nearest checkpoint. Provide a landmark and, if safe, a photo."
faq3,What items should I carry during evacuation?,"Carry water, dry food, ID, medicines, torch, power bank, warm clothes, baby supplies, and important documents in a waterproof bag."
faq4,How can I get medical help?,"Go to the nearest clinic or first-aid camp. If unavailable, look for Red Cross/official medical tents shown on the local map."
faq5,How to verify if a news message is fake?,Cross-check with official government/NGO channels. Avoid forwarding messages without source or verification.
faq6,How can I contact emergency services?,"Dial the local emergency number (e.g., 100, 108, 112 depending on your country). If unavailable, go to the nearest police or fire station."
faq7,What should I do if I get separated from my family?,"Go to the nearest shelter or help desk and report the missing person. Share details like name, age, and last known location with officials."
faq8,Where can I get drinking water?,Relief teams usually distribute bottled water at shelters and checkpoints. Boil or filter water if you're unsure of its safety.
faq9,What should I do during a flood?,Move to higher ground immediately. Avoid walking or driving through floodwaters. Stay tuned to local alerts.
faq10,How do I prepare for an earthquake?,"Keep an emergency bag ready, identify safe spots (under sturdy tables or against walls), and practice 'Drop, Cover, and Hold On'."
faq11,What should I do if I find someone injured?,"Provide first aid if trained. Control bleeding, keep them warm, and call or take them to the nearest medical camp or hospital."
faq12,Where can I charge my phone if there is no electricity?,"Go to official relief centers, community halls, or mobile charging vans provided during emergencies."
faq13,How can I help others during a disaster?,"Offer food, water, and shelter if safe. Volunteer with local NGOs or authorities, and avoid spreading rumors."
faq14,What should I do if I lose my ID documents?,Inform local authorities at the help desk. They will guide you on temporary identification and reissuance.
faq15,How can I stay updated on official announcements?,"Listen to radio, follow government SMS alerts, or check official websites and verified social media accounts."
